Instancja;Zadania;Schrage;;SchrageQueue;;SchragePmtn;;SchragePmtnQueue
Instancja;Zadania;CMax;Czas;CMax;Czas;CMax;Czas;CMax;Czas
in100.txt;100;3076;0.3368;3076;0.044;3070;0.3428;3070;0.0462;
in110.txt;110;6398;0.3452;6398;0.0304;6398;0.3834;6398;0.0416;
in120.txt;120;6398;0.3893;6398;0.0347;6398;0.4393;6398;0.0498;
in130.txt;130;6409;0.4349;6409;0.0403;6398;1.7171;6398;0.0551;
in140.txt;140;6415;0.5224;6415;0.0511;6398;0.601;6398;0.0704;
in150.txt;150;6407;0.5441;6407;0.0532;6398;0.6628;6398;0.0834;
in160.txt;160;6421;0.6227;6421;0.0575;6398;0.7671;6398;0.0767;
in170.txt;170;6429;0.7062;6429;0.0634;6398;0.862;6398;0.0825;
in180.txt;180;6404;0.8047;6404;0.0694;6398;0.9541;6398;0.0862;
in190.txt;190;6414;1.2208;6414;0.074;6398;1.0627;6398;0.0924;
in200.txt;200;6416;1.0872;6416;0.0793;6398;1.1862;6398;0.0971;
in50.txt;50;1513;0.0869;1513;0.0176;1492;0.1017;1492;0.0217;
in60.txt;60;3077;0.1164;3077;0.0178;3070;0.1253;3070;0.0264;
in70.txt;70;3074;0.1357;3074;0.0291;3070;0.1607;3070;0.0307;
in80.txt;80;3081;0.1775;3081;0.0273;3070;0.2042;3070;0.0336;
in90.txt;90;3078;0.2149;3078;0.0311;3070;0.2543;3070;0.0379;
test1.txt;50;3109;0.0776;3109;0.0146;3026;0.09;3026;0.0214;
